observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,frequencyLow,frequencyHigh,observationLevel,observationType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
0,MC-002,MC-002_20240229_090000.WAV,,0.0,3.0,,,interval,animal,Pitangus sulphuratus,,,,,,,machine,Birdnet 2.4,2025-11-19T16:20:45,0.257,,
1,MC-002,MC-002_20240229_090000.WAV,,3.0,6.0,,,interval,animal,Pitangus sulphuratus,,,,,,,machine,Birdnet 2.4,2025-11-19T16:20:45,0.317,,
2,MC-002,MC-002_20240229_090000.WAV,,6.0,9.0,,,interval,animal,Icterus icterus,,,,,,,machine,Birdnet 2.4,2025-11-19T16:20:45,0.113,,
3,MC-002,MC-002_20240229_110000.WAV,,0.0,3.0,,,interval,animal,Cyanocorax violaceus,,,,,,,machine,Birdnet 2.4,2025-11-19T16:20:45,0.441,,
4,MC-002,MC-002_20240229_103000.WAV,,0.0,3.0,,,interval,animal,Buteogallus urubitinga,,,,,,,machine,Birdnet 2.4,2025-11-19T16:20:45,0.223,,
5,MC-002,MC-002_20240229_120000.WAV,,0.0,3.0,,,interval,animal,Crotophaga ani,,,,,,,machine,Birdnet 2.4,2025-11-19T16:20:45,0.929,,
6,MC-002,MC-002_20240229_133000.WAV,,0.0,3.0,,,interval,animal,Cyanocorax violaceus,,,,,,,machine,Birdnet 2.4,2025-11-19T16:20:45,0.22,,
7,MC-002,MC-002_20240229_173000.WAV,,0.0,3.0,,,interval,animal,Crypturellus cinereus,,,,,,,machine,Birdnet 2.4,2025-11-19T16:20:45,0.115,,
8,MC-002,MC-002_20240229_173000.WAV,,3.0,6.0,,,interval,animal,Crypturellus cinereus,,,,,,,machine,Birdnet 2.4,2025-11-19T16:20:45,0.175,,
9,MC-002,MC-002_20240229_230000.WAV,,3.0,6.0,,,interval,animal,Nyctidromus albicollis,,,,,,,machine,Birdnet 2.4,2025-11-19T16:20:45,0.169,,
10,MC-009,MC-009_20240229_010000.WAV,,0.0,3.0,,,interval,animal,Nyctidromus albicollis,,,,,,,machine,Birdnet 2.4,2025-11-19T16:20:45,0.796,,
11,MC-009,MC-009_20240229_010000.WAV,,3.0,6.0,,,interval,animal,Nyctidromus albicollis,,,,,,,machine,Birdnet 2.4,2025-11-19T16:20:45,0.789,,
12,MC-009,MC-009_20240229_010000.WAV,,6.0,9.0,,,interval,animal,Nyctidromus albicollis,,,,,,,machine,Birdnet 2.4,2025-11-19T16:20:45,0.821,,
13,MC-009,MC-009_20240229_000000.WAV,,0.0,3.0,,,interval,animal,Lophostrix cristata,,,,,,,machine,Birdnet 2.4,2025-11-19T16:20:45,0.316,,
14,MC-009,MC-009_20240229_000000.WAV,,3.0,6.0,,,interval,animal,Lophostrix cristata,,,,,,,machine,Birdnet 2.4,2025-11-19T16:20:45,0.131,,
15,MC-009,MC-009_20240229_000000.WAV,,6.0,9.0,,,interval,animal,Lophostrix cristata,,,,,,,machine,Birdnet 2.4,2025-11-19T16:20:45,0.203,,
16,MC-009,MC-009_20240229_013000.WAV,,0.0,3.0,,,interval,animal,Ciccaba virgata,,,,,,,machine,Birdnet 2.4,2025-11-19T16:20:45,0.31,,
17,MC-009,MC-009_20240229_013000.WAV,,3.0,6.0,,,interval,animal,Ciccaba virgata,,,,,,,machine,Birdnet 2.4,2025-11-19T16:20:45,0.285,,
18,MC-009,MC-009_20240229_013000.WAV,,6.0,9.0,,,interval,animal,Ciccaba virgata,,,,,,,machine,Birdnet 2.4,2025-11-19T16:20:45,0.184,,
19,MC-009,MC-009_20240229_020000.WAV,,0.0,3.0,,,interval,animal,Ciccaba virgata,,,,,,,machine,Birdnet 2.4,2025-11-19T16:20:45,0.222,,
20,MC-009,MC-009_20240229_020000.WAV,,3.0,6.0,,,interval,animal,Ciccaba virgata,,,,,,,machine,Birdnet 2.4,2025-11-19T16:20:45,0.199,,
21,MC-009,MC-009_20240229_020000.WAV,,3.0,6.0,,,interval,animal,Lophostrix cristata,,,,,,,machine,Birdnet 2.4,2025-11-19T16:20:45,0.137,,
22,MC-009,MC-009_20240229_020000.WAV,,6.0,9.0,,,interval,animal,Ciccaba virgata,,,,,,,machine,Birdnet 2.4,2025-11-19T16:20:45,0.147,,
23,MC-009,MC-009_20240229_023000.WAV,,0.0,3.0,,,interval,animal,Lophostrix cristata,,,,,,,machine,Birdnet 2.4,2025-11-19T16:20:45,0.217,,
24,MC-009,MC-009_20240229_023000.WAV,,0.0,3.0,,,interval,animal,Ciccaba virgata,,,,,,,machine,Birdnet 2.4,2025-11-19T16:20:45,0.133,,
